time,volume,speed
8-9pm,89,16
6-7pm,90,6
9-10am,60,5
5-6pm,50,27
5-6pm,95,25
8-9pm,150,21
8-9am,198,26
7-8pm,139,20
6-7am,159,9
6-7am,106,19
8-9am,50,7
8-9am,112,11
8-9pm,104,15
8-9pm,164,14
8-9am,192,13
9-10am,198,18
8-9pm,102,17
6-7pm,186,29
8-9pm,106,29
6-7am,166,6
8-9pm,84,7
9-10am,112,11
8-9am,74,25
6-7am,139,22
8-9pm,124,7
9-10am,87,14
6-7pm,179,26
8-9pm,184,11
9-10am,140,13
6-7pm,66,21
8-9am,177,15
8-9pm,157,11
6-7pm,74,28
6-7am,137,18
8-9am,78,23
6-7am,112,8
5-6pm,199,10
7-8am,163,14
8-9pm,98,11
6-7pm,130,17
7-8am,133,18
7-8am,154,8
6-7pm,197,12
8-9am,167,9
8-9pm,135,5
5-6pm,112,8
6-7am,153,7
9-10am,98,13
6-7am,120,12
9-10am,50,5
6-7am,190,10
6-7pm,172,13
5-6pm,111,11
8-9pm,81,8
9-10am,78,17
8-9pm,98,21
8-9pm,79,6
8-9pm,193,9
7-8pm,68,16
8-9am,67,25
6-7am,50,12
8-9pm,127,10
6-7am,164,12
8-9pm,162,22
9-10am,163,7
8-9am,112,26
8-9am,181,16
6-7pm,178,7
7-8pm,57,26
6-7pm,104,10
6-7pm,152,6
6-7pm,180,27
6-7pm,81,16
6-7pm,59,6
5-6pm,159,10
8-9am,173,21
6-7pm,136,7
8-9pm,104,6
8-9am,81,27
8-9am,184,24
7-8am,142,12
5-6pm,57,26
6-7pm,114,16
6-7am,106,8
9-10am,116,9
7-8pm,121,17
8-9pm,103,19
6-7am,116,29
5-6pm,100,27
9-10am,146,20
5-6pm,141,14
8-9pm,57,29
8-9am,84,27
9-10am,145,20
8-9am,137,16
8-9pm,127,21
6-7am,81,20
8-9pm,169,16
6-7am,95,12
9-10am,193,24
9-10am,191,7
6-7pm,104,20
5-6pm,56,17
6-7pm,123,27
5-6pm,56,23
6-7pm,134,12
8-9am,196,26
9-10am,161,9
6-7am,174,24
5-6pm,196,12
8-9pm,85,28
5-6pm,78,16
6-7am,131,5
6-7pm,51,29
5-6pm,178,25
7-8pm,96,24
8-9am,197,10
9-10am,60,26
6-7am,179,22
9-10am,168,12
7-8pm,189,11
5-6pm,69,5
5-6pm,54,25
8-9pm,86,20
7-8pm,186,16
6-7am,102,10
8-9pm,148,24
8-9am,135,6
8-9pm,157,18
7-8am,73,8
6-7am,130,5
7-8am,169,27
7-8pm,108,22
6-7pm,177,17
7-8am,163,6
8-9am,164,13
8-9pm,63,25
6-7pm,58,6
8-9pm,89,29
7-8am,74,13
8-9pm,152,5
7-8pm,71,15
6-7pm,53,7
7-8pm,78,24
7-8am,158,27
7-8pm,147,8
8-9am,86,22
7-8am,124,27
7-8am,119,10
7-8am,195,7
6-7am,177,26
8-9pm,134,15
6-7am,91,19
6-7am,149,26
8-9am,90,9
6-7pm,83,24
8-9pm,66,14
7-8pm,171,16
5-6pm,125,19
7-8am,136,21
7-8pm,166,14
7-8am,155,10
8-9am,135,22
7-8am,76,17
6-7am,106,7
8-9pm,80,28
5-6pm,183,14
9-10am,147,18
7-8am,61,10
7-8pm,102,7
6-7am,187,20
9-10am,194,11
5-6pm,171,24
9-10am,95,18
6-7am,113,13
8-9pm,179,19
8-9pm,103,25
6-7pm,156,7
8-9pm,100,6
6-7pm,85,6
9-10am,164,7
8-9am,75,22
7-8pm,78,18
7-8pm,198,24
9-10am,60,22
7-8am,89,14
7-8am,60,29
8-9pm,162,6
7-8pm,88,29
7-8pm,103,26
6-7pm,147,5
8-9am,104,8
6-7am,160,18
7-8am,199,5
7-8pm,118,18
6-7pm,105,20
5-6pm,82,26
6-7pm,85,18
7-8am,197,24
7-8am,130,7
6-7pm,158,7
6-7am,122,13
9-10am,89,10
7-8am,66,29
6-7pm,178,17
7-8pm,110,25
6-7pm,153,6
8-9am,91,12
9-10am,74,25
5-6pm,88,6
6-7am,84,8
8-9pm,180,29
5-6pm,157,19
9-10am,151,8
9-10am,147,17
9-10am,61,16
5-6pm,68,17
7-8pm,150,18
9-10am,93,24
6-7pm,98,22
5-6pm,66,10
8-9pm,123,15
9-10am,106,6
6-7pm,104,27
7-8pm,96,23
8-9am,61,23
7-8pm,111,9
8-9pm,129,23
9-10am,132,6
8-9pm,57,14
5-6pm,198,29
7-8am,130,6
9-10am,167,15
7-8am,74,22
6-7pm,138,28
8-9am,61,19
6-7am,192,13
8-9pm,108,27
7-8pm,158,23
8-9am,75,13
9-10am,96,7
7-8am,81,25
7-8pm,59,13
7-8am,65,18
5-6pm,194,23
7-8am,75,11
5-6pm,135,20
6-7pm,184,20
7-8pm,63,5
7-8pm,128,8
6-7am,166,8
9-10am,56,11
5-6pm,186,12
6-7am,164,21
7-8am,121,9
7-8am,108,11
6-7am,131,24
7-8pm,165,24
7-8am,195,8
8-9pm,152,10
6-7pm,66,11
6-7pm,63,22
8-9pm,157,9
6-7am,94,24
8-9pm,147,7
5-6pm,180,11
5-6pm,86,26
6-7am,157,18
8-9pm,88,11
5-6pm,64,9
7-8pm,169,26
8-9pm,53,9
7-8pm,142,27
5-6pm,190,6
6-7pm,65,25
5-6pm,157,26
7-8pm,175,10
8-9am,104,19
9-10am,83,25
7-8am,62,14
8-9pm,190,27
8-9am,67,28
5-6pm,145,11
6-7pm,172,9
6-7am,88,5
5-6pm,95,17
6-7pm,78,25
9-10am,111,22
5-6pm,65,17
7-8pm,170,25
6-7am,59,25
6-7pm,152,22
6-7pm,133,9
6-7pm,182,17
9-10am,114,8
5-6pm,52,21
9-10am,191,7
8-9pm,169,21
7-8am,117,15
7-8am,195,25
8-9pm,86,24
5-6pm,122,27
7-8pm,192,25
9-10am,98,8
6-7am,170,6
6-7pm,137,24
6-7pm,189,20
5-6pm,86,22
7-8pm,110,12
7-8am,173,7
7-8am,88,13
6-7pm,112,24
5-6pm,95,10
9-10am,137,14
7-8am,60,25
9-10am,111,14
7-8pm,126,17
7-8am,101,21
7-8am,53,13
8-9am,108,21
7-8am,121,28
8-9pm,197,13
6-7am,142,13
8-9pm,112,5
5-6pm,103,6
5-6pm,166,20
9-10am,159,5
8-9pm,123,14
8-9pm,156,22
8-9pm,106,12
7-8pm,52,25
7-8am,169,15
6-7am,55,27
9-10am,54,6
8-9pm,54,12
8-9pm,103,26
8-9am,96,12
9-10am,58,21
8-9pm,148,19
9-10am,69,21
7-8am,171,27
8-9am,110,28
9-10am,172,17
6-7am,131,23
6-7am,111,9
5-6pm,194,16
8-9am,52,5
8-9am,62,27
5-6pm,169,9
9-10am,174,12
8-9am,138,17
6-7am,122,12
6-7am,117,29
8-9pm,191,27
7-8am,150,15
8-9am,147,5
9-10am,60,17
5-6pm,154,23
5-6pm,116,28
9-10am,172,7
7-8pm,78,28
6-7pm,186,21
7-8am,125,9
5-6pm,58,24
8-9am,89,25
7-8am,74,12
8-9am,54,18
7-8pm,188,8
6-7am,173,15
7-8am,87,24
8-9pm,121,19
5-6pm,182,23
7-8am,139,11
7-8am,195,23
7-8am,86,23
6-7pm,109,15
7-8am,77,9
8-9am,130,9
6-7am,163,26
7-8pm,89,12
9-10am,94,14
7-8am,111,10
5-6pm,142,19
7-8am,164,20
5-6pm,116,21
8-9am,105,12
5-6pm,89,12
8-9pm,147,29
9-10am,89,13
6-7am,140,6
5-6pm,82,19
5-6pm,55,22
6-7am,196,7
9-10am,129,21
7-8am,141,8
5-6pm,146,8
6-7am,108,18
8-9pm,108,13
8-9pm,97,13
8-9am,62,29
6-7am,156,27
8-9am,94,22
8-9pm,138,14
9-10am,149,25
7-8am,56,8
6-7am,182,16
7-8pm,94,12
8-9pm,107,6
8-9pm,80,26
7-8pm,72,17
6-7pm,187,25
8-9pm,156,20
5-6pm,88,6
9-10am,131,15
6-7am,149,14
7-8pm,51,19
5-6pm,126,21
7-8pm,61,12
6-7am,88,22
8-9am,62,27
6-7am,95,13
6-7pm,162,29
6-7am,66,12
6-7am,153,18
6-7pm,147,29
9-10am,137,22
8-9pm,158,26
6-7am,119,24
6-7pm,123,24
5-6pm,112,25
8-9am,109,16
8-9am,128,23
6-7am,86,18
9-10am,71,21
9-10am,197,28
5-6pm,145,25
6-7am,117,7
8-9am,66,27
9-10am,61,11
6-7am,199,21
7-8pm,194,16
9-10am,187,13
6-7pm,167,19
7-8pm,71,22
8-9pm,169,25
9-10am,99,17
8-9am,63,25
7-8am,78,12
7-8pm,174,18
8-9pm,56,12
5-6pm,78,18
5-6pm,188,11
8-9am,82,27
9-10am,183,16
6-7am,160,15
9-10am,128,26
8-9am,107,26
5-6pm,75,15
9-10am,78,29
5-6pm,53,26
7-8pm,148,17
8-9pm,190,22
6-7am,88,6
7-8pm,64,25
5-6pm,168,19
5-6pm,78,24
7-8am,124,22
7-8am,165,19
7-8pm,81,23
6-7pm,179,27
7-8pm,133,28
7-8am,71,16
5-6pm,76,17
8-9am,130,26
7-8pm,175,15
5-6pm,141,9
8-9am,70,5
8-9am,96,28
7-8am,150,7
7-8pm,133,26
9-10am,55,23
6-7am,196,27
7-8am,180,11
7-8am,50,16
9-10am,107,19
6-7am,173,29
5-6pm,64,9
6-7pm,113,19
7-8pm,74,12
6-7pm,73,14
5-6pm,61,20
8-9pm,67,12
7-8am,64,5
6-7am,76,16
7-8am,121,9
8-9am,109,7
7-8am,194,5
7-8am,142,8
5-6pm,102,12
5-6pm,57,7
5-6pm,128,14
6-7pm,76,6
8-9am,99,15
8-9pm,180,29
8-9pm,142,14
5-6pm,73,25
6-7am,109,18
6-7pm,171,11
9-10am,180,6
6-7am,197,13
7-8pm,95,20
7-8pm,64,17
6-7am,66,13
5-6pm,175,24
9-10am,133,8
9-10am,58,26
6-7pm,112,14
9-10am,166,26
7-8pm,179,16
8-9am,137,21
5-6pm,121,18
9-10am,188,18
6-7pm,113,29
7-8pm,121,6
8-9am,70,25
7-8am,67,29
7-8am,113,24
8-9am,131,15
7-8pm,159,20
6-7pm,144,23
8-9am,81,27
5-6pm,60,10
5-6pm,94,28
7-8am,82,23
9-10am,151,9
6-7pm,185,8
7-8am,60,19
9-10am,137,8
9-10am,90,24
8-9pm,194,14
5-6pm,125,28
7-8pm,170,26
6-7am,95,7
7-8pm,129,9
6-7am,103,10
8-9am,135,25
5-6pm,141,26
9-10am,197,12
6-7pm,146,11
6-7am,51,25
7-8pm,82,14
9-10am,126,10
6-7am,165,18
6-7am,199,8
8-9pm,152,29
6-7am,152,17
6-7pm,139,24
5-6pm,171,21
6-7pm,192,27
7-8am,155,11
9-10am,168,8
5-6pm,98,18
8-9pm,153,7
5-6pm,110,28
5-6pm,172,9
7-8pm,183,20
5-6pm,58,27
8-9pm,55,24
6-7pm,122,8
5-6pm,152,28
8-9am,90,28
9-10am,163,6
5-6pm,57,22
9-10am,121,23
8-9am,141,23
8-9am,111,21
9-10am,133,18
6-7am,111,23
7-8am,160,26
7-8pm,176,28
6-7am,56,17
6-7am,133,16
6-7pm,181,10
7-8pm,183,25
7-8pm,107,8
6-7am,71,23
5-6pm,176,20
6-7pm,52,17
6-7pm,176,8
8-9am,90,27
8-9pm,155,21
7-8pm,63,27
6-7am,61,5
8-9am,136,22
9-10am,61,24
7-8am,190,21
8-9pm,74,19
8-9pm,94,15
8-9pm,171,29
6-7pm,196,26
9-10am,104,17
8-9pm,149,5
9-10am,185,21
5-6pm,168,10
8-9pm,102,8
7-8am,81,24
9-10am,100,20
9-10am,93,19
7-8am,131,19
8-9pm,195,10
7-8am,199,19
9-10am,86,18
7-8am,145,15
9-10am,105,11
9-10am,154,13
5-6pm,108,20
6-7am,180,9
9-10am,84,29
8-9pm,142,24
8-9am,146,14
